T0101,煤炭
T010101,煤炭开采
T010102,焦炭加工
T0102,电力
T010201,水力发电
T010202,火力发电
T010203,新型电力
T0103,石油
T010301,石油开采
T010302,石油加工
T010303,石油贸易
T0201,钢铁
T020101,普钢
T020102,特种钢
T020103,钢加工
T0202,有色
T020201,铜
T020202,铝
T020203,铅锌
T020204,黄金
T020205,小金属
T0203,化纤
T0204,化工
T020401,化工原料
T020402,农药化肥
T020404,塑料
T020405,橡胶
T020406,染料涂料
T0206,建材
T020601,陶瓷
T020602,水泥
T020603,玻璃
T020604,其他建材
T0207,造纸
T0208,矿物制品
T0301,日用化工
T0302,农林牧渔
T030201,种植业
T030202,渔业
T030203,林业
T030204,饲料
T030206,农业综合
T0303,纺织服饰
T030301,纺织
T030302,服饰
T0304,食品饮料
T030401,乳制品
T030402,软饮料
T030403,食品
T0305,酿酒
T030501,白酒
T030502,啤酒
T030503,红黄酒
T0401,家用电器
T0402,汽车类
T040201,汽车整车
T040202,汽车配件
T040203,汽车服务
T040204,摩托车
T0403,医疗保健
T0404,家居用品
T0405,医药
T040501,化学制药
T040502,生物制药
T040503,中成药
T0501,商业连锁
T050101,百货
T050102,超市连锁
T050103,电器连锁
T050104,医药商业
T050105,其他商业
T050106,商品城
T050107,批发业
T0502,商贸代理
T0601,传媒娱乐
T060101,出版业
T060102,影视音像
T0602,广告包装
T0603,文教休闲
T0604,酒店餐饮
T0605,旅游
T060501,旅游服务
T060502,旅游景点
T0701,航空
T0702,船舶
T0703,运输设备
T0704,通用机械
T070401,机床制造
T070402,机械基件
T0705,工业机械
T070501,化工机械
T070502,轻工机械
T070504,纺织机械
T070505,农用机械
T070506,专用机械
T0706,电气设备
T0707,工程机械
T0708,电器仪表
T0801,电信运营
T0802,公共交通
T0803,水务
T0804,供气供热
T0805,环境保护
T0901,运输服务
T090101,铁路
T090102,水运
T090103,空运
T090104,公路
T0902,仓储物流
T0903,交通设施
T090301,路桥
T090302,机场
T090303,港口
T1001,银行
T1002,证券
T1003,保险
T1004,多元金融
T1101,建筑
T110101,建筑工程
T110102,装修装饰
T1102,房地产
T110201,全国地产
T110202,区域地产
T110203,园区开发
T110204,房产服务
T1201,IT设备
T1202,通信设备
T1203,半导体
T1204,元器件
T1205,软件服务
T1206,互联网
T1301,综合类
TOPCON,TOPCon电池
T01,TDX 能源
T02,TDX 材料
T03,TDX 消费
T04,TDX 可选
T05,TDX 商贸
T06,TDX 服务
T07,TDX 制造
T08,TDX 公用
T09,TDX 交运
T10,TDX 金融
T11,TDX 建设
T12,TDX 信息
T13,TDX 综企
